dataset_cls,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
SemcityToulouse,0,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,0,0,876,863,0
SemcityToulouse,1,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,0,876,876,863,1
SemcityToulouse,2,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,0,1752,876,863,2
SemcityToulouse,3,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,0,2589,876,863,3
SemcityToulouse,4,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,876,0,876,863,4
SemcityToulouse,5,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,876,876,876,863,5
SemcityToulouse,6,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,876,1752,876,863,6
SemcityToulouse,7,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,876,2589,876,863,7
SemcityToulouse,8,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,1752,0,876,863,8
SemcityToulouse,9,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,1752,876,876,863,9
SemcityToulouse,10,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,1752,1752,876,863,10
SemcityToulouse,11,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,1752,2589,876,863,11
SemcityToulouse,12,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,2628,0,876,863,12
SemcityToulouse,13,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,2628,876,876,863,13
SemcityToulouse,14,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,2628,1752,876,863,14
SemcityToulouse,15,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,2628,2589,876,863,15
SemcityToulouse,16,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,0,0,876,863,16
SemcityToulouse,17,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,0,876,876,863,17
SemcityToulouse,18,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,0,1752,876,863,18
SemcityToulouse,19,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,0,2589,876,863,19
SemcityToulouse,20,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,876,0,876,863,20
SemcityToulouse,21,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,876,876,876,863,21
SemcityToulouse,22,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,876,1752,876,863,22
