city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,min_vals,max_vals
Digitanie,0,Brisbane/Brisbane.tif,none,0,0,51195,44188,0,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_0.tif,Brisbane/COS9/Brisbane_0.tif,0,0,2048,2048,1,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_1.tif,Brisbane/COS9/Brisbane_1.tif,0,0,2048,2048,2,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_2.tif,Brisbane/COS9/Brisbane_2.tif,0,0,2048,2048,3,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_3.tif,Brisbane/COS9/Brisbane_3.tif,0,0,2048,2048,4,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_4.tif,Brisbane/COS9/Brisbane_4.tif,0,0,2048,2048,5,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_5.tif,Brisbane/COS9/Brisbane_5.tif,0,0,2048,2048,6,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_6.tif,Brisbane/COS9/Brisbane_6.tif,0,0,2048,2048,7,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_7.tif,Brisbane/COS9/Brisbane_7.tif,0,0,2048,2048,8,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_8.tif,Brisbane/COS9/Brisbane_8.tif,0,0,2048,2048,9,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
Digitanie,0,Brisbane/Brisbane_EPSG32756_9.tif,Brisbane/COS9/Brisbane_9.tif,0,0,2048,2048,10,"(0.0, 0.0, 0.0, 0.0)","(0.969, 0.928, 0.873, 1.055)"
