city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,min_vals,max_vals
Digitanie,0,Toulouse/Toulouse.tif,none,0,0,55600,54062,0,"(0.043160626590251924, 0.06168530829250812, 0.08235999912023545, 0.049872309267520905)","(0.3422375977039337, 0.31118453323841094, 0.29282564520835874, 0.3885713094472885)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_0.tif,Toulouse/COS9/Toulouse_0.tif,0,0,2048,2048,1,"(0.03343353047966957, 0.05201108798384666, 0.0799864311516285, 0.0276908952742815)","(0.11653692528605458, 0.11727750957012176, 0.14178448736667632, 0.15993611246347428)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_1.tif,Toulouse/COS9/Toulouse_1.tif,0,0,2048,2048,2,"(0.031177578829228877, 0.05140083134174347, 0.08041020527482033, 0.016188817098736763)","(0.1416720017790793, 0.1508476883172989, 0.16930103391408916, 0.1736582279205322)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_2.tif,Toulouse/COS9/Toulouse_2.tif,0,0,2048,2048,3,"(0.03391897700726986, 0.052667573764920234, 0.08085832357406617, 0.028831446059048176)","(0.13038249373435973, 0.13711120396852491, 0.16612556576728815, 0.1589741626381874)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_3.tif,Toulouse/COS9/Toulouse_3.tif,0,0,2048,2048,4,"(0.03287287145853043, 0.05152157016098499, 0.0794659787416458, 0.028204316943883895)","(0.11871566921472548, 0.1165211620926857, 0.1443034392595291, 0.151646988093853)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_4.tif,Toulouse/COS9/Toulouse_4.tif,0,0,2048,2048,5,"(0.03313990332186222, 0.05167751759290695, 0.07952579900622368, 0.024705667719244956)","(0.12598068267107007, 0.1275559636950493, 0.15501502037048334, 0.15408318966627121)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_5.tif,Toulouse/COS9/Toulouse_5.tif,0,0,2048,2048,6,"(0.03303673230111599, 0.0521400174498558, 0.08045013561844826, 0.023804155364632606)","(0.13591270059347152, 0.14165093481540678, 0.16931765109300612, 0.1581086730957031)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_6.tif,Toulouse/COS9/Toulouse_6.tif,0,0,2048,2048,7,"(0.030594059899449348, 0.050731164813041685, 0.07967669695615769, 0.016471916921436788)","(0.0800746302306652, 0.09166184768080711, 0.12011810779571533, 0.15493069916963575)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_7.tif,Toulouse/COS9/Toulouse_7.tif,0,0,2048,2048,8,"(0.032570742294192316, 0.05242046013474464, 0.0810193069279194, 0.027312053740024565)","(0.12289061248302459, 0.12786650121212007, 0.15411201864480967, 0.15682667136192321)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_8.tif,Toulouse/COS9/Toulouse_8.tif,0,0,2048,2048,9,"(0.03235119998455047, 0.05114854522049427, 0.0791695275902748, 0.03209874629974365)","(0.10749584779143333, 0.11005221083760261, 0.13753438949584962, 0.15800298541784286)"
Digitanie,0,Toulouse/Toulouse_EPSG32631_9.tif,Toulouse/COS9/Toulouse_9.tif,0,0,2048,2048,10,"(0.03207322999835014, 0.05136455222964287, 0.07939864084124565, 0.020996336452662946)","(0.1107805687189102, 0.11066602528095242, 0.13902090102434156, 0.144862562417984)"
