city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,min_vals,max_vals
Semcity,0,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_01.tif,semantic_05/TLS_GT/TLS_GT_01_1.tif,0,0,3504,3452,0,"(125.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1261.0, 1485.0, 2412.0, 3126.0, 2173.0, 3094.0, 2504.0, 2394.0)"
Semcity,1,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_02.tif,semantic_05/TLS_GT/TLS_GT_02_1.tif,0,0,3504,3452,1,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2204.0, 2436.0, 3051.0, 3057.0, 2299.0, 3076.0, 2610.0, 2405.0)"
Semcity,2,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_03.tif,semantic_05/TLS_GT/TLS_GT_03_1.tif,0,0,3504,3452,2,"(81.0, 89.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1200.0, 1543.0, 2671.0, 3060.0, 2064.0, 3124.0, 2408.0, 2331.0)"
Semcity,3,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_04.tif,semantic_05/TLS_GT/TLS_GT_04_1.tif,0,0,3504,3452,3,"(26.0, 18.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1278.0, 1725.0, 2769.0, 3013.0, 2105.0, 3045.0, 2211.0, 2161.0)"
Semcity,4,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_05.tif,semantic_05/TLS_GT/TLS_GT_05_1.tif,0,0,3504,3452,4,"(54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1729.0, 1990.0, 2542.0, 2862.0, 2140.0, 2744.0, 2674.0, 2179.0)"
Semcity,5,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_06.tif,semantic_05/TLS_GT/TLS_GT_06_1.tif,0,0,3504,3452,5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1465.0, 2098.0, 2395.0, 3105.0, 2209.0, 3169.0, 2874.0, 2772.0)"
Semcity,6,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_07.tif,semantic_05/TLS_GT/TLS_GT_07_1.tif,0,0,3504,3452,6,"(0.0, 75.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1339.0, 1497.0, 2444.0, 3407.0, 2099.0, 3000.0, 3210.0, 2443.0)"
Semcity,7,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_08.tif,semantic_05/TLS_GT/TLS_GT_08_1.tif,0,0,3504,3452,7,"(64.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2068.0, 2253.0, 2450.0, 3099.0, 2263.0, 2906.0, 2734.0, 2199.0)"
Semcity,8,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_09.tif,semantic_05/TLS_GT/TLS_GT_09_1.tif,0,0,3504,3452,8,"(76.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1308.0, 1603.0, 2421.0, 3198.0, 2140.0, 3074.0, 2451.0, 2537.0)"
Semcity,9,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_10.tif,semantic_05/TLS_GT/TLS_GT_10_1.tif,0,0,3504,3452,9,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2332.0, 3188.0, 3240.0, 4021.0, 2527.0, 3487.0, 2724.0, 2944.0)"
Semcity,10,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_11.tif,semantic_05/TLS_GT/TLS_GT_11_1.tif,0,0,3504,3452,10,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2151.0, 3336.0, 3111.0, 3090.0, 2958.0, 4372.0, 3969.0, 3939.0)"
Semcity,11,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_12.tif,semantic_05/TLS_GT/TLS_GT_12_1.tif,0,0,3504,3452,11,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1965.0, 2646.0, 3275.0, 2798.0, 2648.0, 2866.0, 3264.0, 2284.0)"
Semcity,12,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_13.tif,semantic_05/TLS_GT/TLS_GT_13_1.tif,0,0,3504,3452,12,"(141.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1273.0, 1783.0, 2602.0, 2966.0, 2137.0, 3035.0, 2594.0, 2535.0)"
Semcity,13,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_14.tif,semantic_05/TLS_GT/TLS_GT_14_1.tif,0,0,3504,3452,13,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2161.0, 2642.0, 2664.0, 3941.0, 2465.0, 3482.0, 4006.0, 3473.0)"
Semcity,14,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_15.tif,semantic_05/TLS_GT/TLS_GT_15_1.tif,0,0,3504,3452,14,"(10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1266.0, 1542.0, 2572.0, 3032.0, 2328.0, 3022.0, 2394.0, 2336.0)"
Semcity,15,img_multispec_05/TLS_BDSD_M/TLS_BDSD_M_16.tif,semantic_05/TLS_GT/TLS_GT_16_1.tif,0,0,3504,3452,15,"(0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1847.0, 2300.0, 2624.0, 3174.0, 2180.0, 3245.0, 2749.0, 2469.0)"
