,mask,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9
0,Toulouse/COS9/Toulouse_0.tif,597518,438588,1092511,1752,727507,609964,93813,542383,84062,6206
1,Toulouse/COS9/Toulouse_1.tif,673867,68362,736599,652604,420776,1052706,224314,319063,5468,40545
2,Toulouse/COS9/Toulouse_2.tif,613036,598855,866077,2598,591878,537950,519767,459166,948,4029
3,Toulouse/COS9/Toulouse_3.tif,908144,118350,652319,0,884847,802658,309332,512269,0,6385
4,Toulouse/COS9/Toulouse_4.tif,995954,10680,402522,477,1178032,650843,288859,521269,136491,9177
5,Toulouse/COS9/Toulouse_5.tif,785348,34293,734300,0,832121,615680,473519,710334,7581,1128
6,Toulouse/COS9/Toulouse_6.tif,468645,58743,807466,664718,148543,1513483,35374,441940,53779,1613
7,Toulouse/COS9/Toulouse_7.tif,659761,210246,887576,22941,663374,914828,242710,571606,20378,884
8,Toulouse/COS9/Toulouse_8.tif,998812,18343,918941,0,656598,954565,123125,497966,0,25954
9,Toulouse/COS9/Toulouse_9.tif,996278,6862,102116,40815,1439737,784385,157416,666259,0,436
