dataset_cls,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
DigitanieToulouse,0,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,0,0,500,500,0,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,1,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,0,500,500,500,1,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,2,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,0,1000,500,500,2,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,3,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,0,1500,500,500,3,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,4,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,500,0,500,500,4,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,5,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,500,500,500,500,5,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,6,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,500,1000,500,500,6,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,7,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,500,1500,500,500,7,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,8,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1000,0,500,500,8,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,9,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1000,500,500,500,9,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,10,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1000,1000,500,500,10,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,11,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1000,1500,500,500,11,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,12,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1500,0,500,500,12,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,13,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1500,500,500,500,13,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,14,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1500,1000,500,500,14,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,15,Toulouse/toulouse_tuile_1_img_normalized.tif,Toulouse/toulouse_tuile_1.tif,1500,1500,500,500,15,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,16,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,0,0,500,500,16,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,17,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,0,500,500,500,17,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,18,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,0,1000,500,500,18,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,19,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,0,1500,500,500,19,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,20,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,500,0,500,500,20,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,21,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,500,500,500,500,21,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,22,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,500,1000,500,500,22,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,23,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,500,1500,500,500,23,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,24,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1000,0,500,500,24,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,25,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1000,500,500,500,25,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,26,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1000,1000,500,500,26,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,27,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1000,1500,500,500,27,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,28,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1500,0,500,500,28,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,29,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1500,500,500,500,29,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,30,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1500,1000,500,500,30,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,31,Toulouse/toulouse_tuile_2_img_normalized.tif,Toulouse/toulouse_tuile_2.tif,1500,1500,500,500,31,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,32,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,0,0,500,500,0,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,33,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,0,500,500,500,1,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,34,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,0,1000,500,500,2,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,35,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,0,1500,500,500,3,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,36,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,500,0,500,500,4,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,37,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,500,500,500,500,5,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,38,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,500,1000,500,500,6,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,39,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,500,1500,500,500,7,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,40,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1000,0,500,500,8,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,41,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1000,500,500,500,9,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,42,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1000,1000,500,500,10,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,43,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1000,1500,500,500,11,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,44,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1500,0,500,500,12,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,45,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1500,500,500,500,13,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,46,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1500,1000,500,500,14,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,47,Toulouse/toulouse_tuile_3_img_normalized.tif,Toulouse/toulouse_tuile_3.tif,1500,1500,500,500,15,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,48,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,0,0,500,500,16,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,49,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,0,500,500,500,17,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,50,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,0,1000,500,500,18,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,51,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,0,1500,500,500,19,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,52,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,500,0,500,500,20,Toulouse/toulouse_full_tiled.tif
